request_id,run_id,task_id,session_id,sequence_id,session_type,session_id_source,turn_number,turn_number_source,model,stream,path,prefix_hash,full_hash,sequence_root,num_messages,prompt_chars,ts_request_in,ts_first_byte,ts_last_byte,status_code,prompt_tokens,completion_tokens,cached_tokens,usage_source,stream_chunks,error,response_id,tool_called,e2e_s,ttft_s,itl_s,streamed,gap_s,context_growth_tokens,is_resumption,prefix_seen_before,exact_resend,branch_factor,is_condensation,context_shrink_tokens,fanout,sequence_role,shared_prefix_msgs,shared_prefix_chars,shared_prefix_frac,ts,kv_cache_utilization,queue_depth,running_requests,eviction_events,eviction_events_window,prompt_tokens_total,prompt_tokens_total_delta,generation_tokens_total,generation_tokens_total_delta,prefix_cache_hit_rate,prefix_cache_hit_rate_reported,cached_tokens_total,cached_tokens_total_delta,prefill_recompute_tokens_mean,ttft_server_s_mean,queue_time_s_mean,prefill_time_s_mean,decode_time_s_mean,external_prefix_cache_hit_rate,offload_load_bytes,offload_load_bytes_delta,offload_store_bytes,offload_store_bytes_delta,offload_load_time_s_mean,offload_alloc_failures,offload_alloc_failures_delta,engine
23607ac5-62d2-4078-ba54-07899facfa0e,rtxtune_c40,pydata__xarray-4248,pydata__xarray-4248,6fed2d7f2da2141903c6d7fc12f3a82754e11fc936fb1f166ce1e1d81528c889,agentic,header,15,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,6fed2d7f2da2141903c6d7fc12f3a82754e11fc936fb1f166ce1e1d81528c889,6fed2d7f2da2141903c6d7fc12f3a82754e11fc936fb1f166ce1e1d81528c889,2,16323,1785743048.3956883,1785743162.465274,1785743162.465274,200,7432,1802,4704,response,,,chatcmpl-823ba4adc3f5d34b,,114.0695858001709,,,False,,,False,True,False,1,False,,1,root,2,16323,1.0,1785743043.396,0.0,0,0,62,0.0,5307086,0.0,281444,12.0,,,4309056,0.0,116.0,,4.540197551250458e-06,0.13654054421931505,1036.1101551763713,,33531363328,0.0,180847902720,0.0,,,,vllm
b86fb9b6-e262-4e5a-b2f8-ad45535f7585,rtxtune_c40,pylint-dev__pylint-5859,pylint-dev__pylint-5859,a81963ae8de5718c06794c09dc1aa80665637004462c81f06869c80501c21d56,agentic,header,11,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,a81963ae8de5718c06794c09dc1aa80665637004462c81f06869c80501c21d56,a81963ae8de5718c06794c09dc1aa80665637004462c81f06869c80501c21d56,2,16400,1785743048.4206877,1785743097.8895056,1785743097.8895056,200,7495,800,7488,response,,,chatcmpl-a177d0caa97fcdbe,think,49.468817949295044,,,False,,,False,True,False,1,False,,1,root,2,16400,1.0,1785743048.396,0.0,0,0,62,0.0,5307086,0.0,281444,0.0,,,4309056,0.0,,,,,,,33531363328,0.0,180847902720,0.0,,,,vllm
737ae316-9040-453d-8057-2428779ea6f4,rtxtune_c40,astropy__astropy-14365,astropy__astropy-14365,9f8a0de124a202e342ec6c909134912a8a18df1147a3f401a33307e56bc0fce0,agentic,header,5,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,9f8a0de124a202e342ec6c909134912a8a18df1147a3f401a33307e56bc0fce0,9f8a0de124a202e342ec6c909134912a8a18df1147a3f401a33307e56bc0fce0,2,16831,1785743048.6695654,1785743090.472092,1785743090.472092,200,7638,641,7632,response,,,chatcmpl-8206ce06c71265ac,terminal,41.80252647399902,,,False,,,False,True,False,1,False,,1,root,2,16831,1.0,1785743048.396,0.0,0,0,62,0.0,5307086,0.0,281444,0.0,,,4309056,0.0,,,,,,,33531363328,0.0,180847902720,0.0,,,,vllm
2435730d-2015-4c7b-9f10-79fb55ee37d1,rtxtune_c40,matplotlib__matplotlib-22835,matplotlib__matplotlib-22835,6a42d78244f03b7899336b68ce3dd7da94892db8ee25f804766cf317e72d1697,agentic,header,14,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,6a42d78244f03b7899336b68ce3dd7da94892db8ee25f804766cf317e72d1697,6a42d78244f03b7899336b68ce3dd7da94892db8ee25f804766cf317e72d1697,2,17422,1785743048.6731083,1785743127.9478917,1785743127.9478917,200,7676,1295,7664,response,,,chatcmpl-bf6b2f2dfa5876df,think,79.27478337287903,,,False,,,False,True,False,1,False,,1,root,2,17422,1.0,1785743048.396,0.0,0,0,62,0.0,5307086,0.0,281444,0.0,,,4309056,0.0,,,,,,,33531363328,0.0,180847902720,0.0,,,,vllm
4a3fa832-3895-465c-ab31-469a7136925d,rtxtune_c40,sphinx-doc__sphinx-10325,sphinx-doc__sphinx-10325,c16d6ce409a72044bce4a7a68bfbc9a10bf92422f0495fdac6a7a2cc6e977fa1,agentic,header,11,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,c16d6ce409a72044bce4a7a68bfbc9a10bf92422f0495fdac6a7a2cc6e977fa1,c16d6ce409a72044bce4a7a68bfbc9a10bf92422f0495fdac6a7a2cc6e977fa1,2,16554,1785743048.675334,1785743128.3490007,1785743128.3490007,200,7384,1303,7376,response,,,chatcmpl-b649bf874813c8a5,think,79.67366671562195,,,False,,,False,True,False,1,False,,1,root,2,16554,1.0,1785743048.396,0.0,0,0,62,0.0,5307086,0.0,281444,0.0,,,4309056,0.0,,,,,,,33531363328,0.0,180847902720,0.0,,,,vllm
2a3308ae-7329-4390-8465-271989469243,rtxtune_c40,pallets__flask-4992,pallets__flask-4992,fc9d42d43e645e4ef9881b8809e89dc1a34aeb684050aebbaabbb3ff78fc9ee0,agentic,header,11,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,fc9d42d43e645e4ef9881b8809e89dc1a34aeb684050aebbaabbb3ff78fc9ee0,fc9d42d43e645e4ef9881b8809e89dc1a34aeb684050aebbaabbb3ff78fc9ee0,2,16595,1785743048.688192,1785743088.7034643,1785743088.7034643,200,7445,601,7440,response,,,chatcmpl-9ed6c7088bd5cc76,think,40.01527237892151,,,False,,,False,True,False,1,False,,1,root,2,16595,1.0,1785743048.396,0.0,0,0,62,0.0,5307086,0.0,281444,0.0,,,4309056,0.0,,,,,,,33531363328,0.0,180847902720,0.0,,,,vllm
79b3bc1e-c35b-4770-a665-4edda238870a,rtxtune_c40,matplotlib__matplotlib-23299,matplotlib__matplotlib-23299,e7fb61ec58951a10d849993bdcfdf26c1c9b41cd293ac0284661579ff1443a70,agentic,header,9,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,e7fb61ec58951a10d849993bdcfdf26c1c9b41cd293ac0284661579ff1443a70,e7fb61ec58951a10d849993bdcfdf26c1c9b41cd293ac0284661579ff1443a70,2,17320,1785743048.6925254,1785743267.9512072,1785743267.9512072,200,7669,3221,7664,response,,,chatcmpl-a8cf3ca1d5962418,think,219.2586817741394,,,False,,,False,True,False,1,False,,1,root,2,17320,1.0,1785743048.396,0.0,0,0,62,0.0,5307086,0.0,281444,0.0,,,4309056,0.0,,,,,,,33531363328,0.0,180847902720,0.0,,,,vllm
556a10da-0924-4c8c-a820-d24f7d0dfeaf,rtxtune_c40,sympy__sympy-11897,sympy__sympy-11897,bb5fea3fa54e1a5cc7b43310dec7346fe857bf6b57f8c4fc6965baa8673488f4,agentic,header,11,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,bb5fea3fa54e1a5cc7b43310dec7346fe857bf6b57f8c4fc6965baa8673488f4,bb5fea3fa54e1a5cc7b43310dec7346fe857bf6b57f8c4fc6965baa8673488f4,2,16072,1785743048.6961064,1785743119.2763524,1785743119.2763524,200,7396,1186,7392,response,,,chatcmpl-bfeffda5759975b0,think,70.58024597167969,,,False,,,False,True,False,1,False,,1,root,2,16072,1.0,1785743048.396,0.0,0,0,62,0.0,5307086,0.0,281444,0.0,,,4309056,0.0,,,,,,,33531363328,0.0,180847902720,0.0,,,,vllm
ae34b97d-cdd6-4338-9aab-e42a14a91af8,rtxtune_c40,pydata__xarray-4094,pydata__xarray-4094,10210ff95cc537a385031e6b4159bcc33e451ddbc3ac2a8c0099fbdd5611edc4,agentic,header,7,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,10210ff95cc537a385031e6b4159bcc33e451ddbc3ac2a8c0099fbdd5611edc4,10210ff95cc537a385031e6b4159bcc33e451ddbc3ac2a8c0099fbdd5611edc4,2,17160,1785743048.8264837,1785743189.6874769,1785743189.6874769,200,7758,2207,7744,response,,,chatcmpl-b5de03527a2338f6,think,140.86099314689636,,,False,,,False,True,False,1,False,,1,root,2,17160,1.0,1785743048.396,0.0,0,0,62,0.0,5307086,0.0,281444,0.0,,,4309056,0.0,,,,,,,33531363328,0.0,180847902720,0.0,,,,vllm
b73a1069-d32e-450b-b9ab-4ef887f85edd,rtxtune_c40,django__django-11001,django__django-11001,343fefcb87ccf042fc8ba135509f34b85ffb10e719a71f7f85e4f574b4ad4195,agentic,header,9,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,343fefcb87ccf042fc8ba135509f34b85ffb10e719a71f7f85e4f574b4ad4195,343fefcb87ccf042fc8ba135509f34b85ffb10e719a71f7f85e4f574b4ad4195,2,17713,1785743048.8908815,1785743097.935672,1785743097.935672,200,7675,799,7664,response,,,chatcmpl-938cdcebc77fdda1,file_editor,49.044790506362915,,,False,,,False,True,False,1,False,,1,root,2,17713,1.0,1785743048.396,0.0,0,0,62,0.0,5307086,0.0,281444,0.0,,,4309056,0.0,,,,,,,33531363328,0.0,180847902720,0.0,,,,vllm
