request_id,run_id,task_id,session_id,sequence_id,session_type,session_id_source,turn_number,turn_number_source,model,stream,path,prefix_hash,full_hash,sequence_root,num_messages,prompt_chars,ts_request_in,ts_first_byte,ts_last_byte,status_code,prompt_tokens,completion_tokens,cached_tokens,usage_source,stream_chunks,error,e2e_s,ttft_s,itl_s,streamed,gap_s,context_growth_tokens,is_resumption,prefix_seen_before,exact_resend,branch_factor,is_condensation,context_shrink_tokens,fanout,sequence_role,shared_prefix_msgs,shared_prefix_chars,shared_prefix_frac,ts,kv_cache_utilization,queue_depth,running_requests,eviction_events,eviction_events_window,prompt_tokens_total,prompt_tokens_total_delta,generation_tokens_total,generation_tokens_total_delta,prefix_cache_hit_rate,prefix_cache_hit_rate_reported,cached_tokens_total,cached_tokens_total_delta,prefill_recompute_tokens_mean,ttft_server_s_mean,queue_time_s_mean,prefill_time_s_mean,decode_time_s_mean,external_prefix_cache_hit_rate,offload_load_bytes,offload_load_bytes_delta,offload_store_bytes,offload_store_bytes_delta,offload_load_time_s_mean,offload_alloc_failures,offload_alloc_failures_delta,engine
344cd3ca-d6b7-4e33-8fd3-e11e3898d7de,fp8_c24,mwaskom__seaborn-2848,mwaskom__seaborn-2848,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,agentic,header,6,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,2,16385,1784718577.710542,1784718630.9757288,1784718630.9757288,200,7411.0,815.0,,response,,,53.26518678665161,,,False,,,False,True,False,1,False,,1,root,2,16385,1.0,1784718572.711,0.0,0,0,0,0.0,15989551,0.0,441076,0.0,,,15376800,0.0,,,,,,,,,,,,,,vllm
2ca576c2-f968-4c7a-88c5-061cf53f4bb6,fp8_c24,psf__requests-2148,psf__requests-2148,56eb8e5416bc5a0ffd270331a03bd17806f2490a9ad853e6ce4a24019621d308,agentic,header,2,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,56eb8e5416bc5a0ffd270331a03bd17806f2490a9ad853e6ce4a24019621d308,56eb8e5416bc5a0ffd270331a03bd17806f2490a9ad853e6ce4a24019621d308,2,17762,1784718577.7124813,1784718662.716864,1784718662.716864,200,7931.0,1418.0,,response,,,85.00438284873962,,,False,,,False,True,False,1,False,,1,root,2,17762,1.0,1784718577.711,0.0,0,0,0,0.0,15989551,0.0,441076,0.0,,,15376800,0.0,,,,,,,,,,,,,,vllm
6a87e194-bc2f-40b4-9554-c2480f54ba20,fp8_c24,psf__requests-1963,psf__requests-1963,6a8a6f8ab4010bdb88f9ca312b5f638238ae2aabbcff501b6c0033732a4e8525,agentic,header,8,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,6a8a6f8ab4010bdb88f9ca312b5f638238ae2aabbcff501b6c0033732a4e8525,6a8a6f8ab4010bdb88f9ca312b5f638238ae2aabbcff501b6c0033732a4e8525,2,16095,1784718577.715134,1784718631.27564,1784718631.27564,200,7344.0,818.0,,response,,,53.560506105422974,,,False,,,False,True,False,1,False,,1,root,2,16095,1.0,1784718577.711,0.0,0,0,0,0.0,15989551,0.0,441076,0.0,,,15376800,0.0,,,,,,,,,,,,,,vllm
9ddf7aae-e2fd-40e3-a6bf-13ceb246bbc7,fp8_c24,mwaskom__seaborn-3010,mwaskom__seaborn-3010,9d97fc0c697ec3aee5a3894be341bce114e3671ff7c93d493d26a2c1fbf7e726,agentic,header,5,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,9d97fc0c697ec3aee5a3894be341bce114e3671ff7c93d493d26a2c1fbf7e726,9d97fc0c697ec3aee5a3894be341bce114e3671ff7c93d493d26a2c1fbf7e726,2,19531,1784718577.716901,1784718630.0019472,1784718630.0019472,200,8455.0,794.0,,response,,,52.285046100616455,,,False,,,False,True,False,1,False,,1,root,2,19531,1.0,1784718577.711,0.0,0,0,0,0.0,15989551,0.0,441076,0.0,,,15376800,0.0,,,,,,,,,,,,,,vllm
6d24fd84-0928-4604-99b5-beab20289bc4,fp8_c24,pallets__flask-4045,pallets__flask-4045,80f7b9116a5ec64fa5b0f9ec0ca8165504fbb6a3184475e1d7d274326e79cbf0,agentic,header,36,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,80f7b9116a5ec64fa5b0f9ec0ca8165504fbb6a3184475e1d7d274326e79cbf0,80f7b9116a5ec64fa5b0f9ec0ca8165504fbb6a3184475e1d7d274326e79cbf0,2,15630,1784718578.60362,1784718649.4201481,1784718649.4201481,200,7214.0,1149.0,,response,,,70.81652808189392,,,False,,,False,True,False,1,False,,1,root,2,15630,1.0,1784718577.711,0.0,0,0,0,0.0,15989551,0.0,441076,0.0,,,15376800,0.0,,,,,,,,,,,,,,vllm
1876b406-785e-4aa5-89ef-2528450c9e1e,fp8_c24,pallets__flask-4992,pallets__flask-4992,fc9d42d43e645e4ef9881b8809e89dc1a34aeb684050aebbaabbb3ff78fc9ee0,agentic,header,22,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,fc9d42d43e645e4ef9881b8809e89dc1a34aeb684050aebbaabbb3ff78fc9ee0,fc9d42d43e645e4ef9881b8809e89dc1a34aeb684050aebbaabbb3ff78fc9ee0,2,16595,1784718579.1708004,1784718619.0336547,1784718619.0336547,200,7441.0,640.0,,response,,,39.86285424232483,,,False,,,False,True,False,1,False,,1,root,2,16595,1.0,1784718577.711,0.0,0,0,0,0.0,15989551,0.0,441076,0.0,,,15376800,0.0,,,,,,,,,,,,,,vllm
a41ea4a8-3c18-4872-be33-9da970bec4a9,fp8_c24,pydata__xarray-3364,pydata__xarray-3364,29d5f42fd33b69f58bb9aea9678906872040ebdbdc1e243084b009deabe1f343,agentic,header,3,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,29d5f42fd33b69f58bb9aea9678906872040ebdbdc1e243084b009deabe1f343,29d5f42fd33b69f58bb9aea9678906872040ebdbdc1e243084b009deabe1f343,2,16046,1784718580.0197608,1784718778.5602448,1784718778.5602448,200,7297.0,2783.0,,response,,,198.5404839515686,,,False,,,False,True,False,1,False,,1,root,2,16046,1.0,1784718577.711,0.0,0,0,0,0.0,15989551,0.0,441076,0.0,,,15376800,0.0,,,,,,,,,,,,,,vllm
668e726f-e4dc-4827-b522-cb9475b517e8,fp8_c24,pydata__xarray-4094,pydata__xarray-4094,10210ff95cc537a385031e6b4159bcc33e451ddbc3ac2a8c0099fbdd5611edc4,agentic,header,42,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,10210ff95cc537a385031e6b4159bcc33e451ddbc3ac2a8c0099fbdd5611edc4,10210ff95cc537a385031e6b4159bcc33e451ddbc3ac2a8c0099fbdd5611edc4,2,17160,1784718580.8912277,1784718638.1933382,1784718638.1933382,200,7754.0,921.0,,response,,,57.30211043357849,,,False,,,False,True,False,1,False,,1,root,2,17160,1.0,1784718577.711,0.0,0,0,0,0.0,15989551,0.0,441076,0.0,,,15376800,0.0,,,,,,,,,,,,,,vllm
91322f47-62c4-4adf-a21b-7ce2a42439fb,fp8_c24,pytest-dev__pytest-11148,pytest-dev__pytest-11148,59fbbd19449e8444a972f284eae8061de2ef317ef47f9560cd6e57d8b9258bf4,agentic,header,33,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,59fbbd19449e8444a972f284eae8061de2ef317ef47f9560cd6e57d8b9258bf4,59fbbd19449e8444a972f284eae8061de2ef317ef47f9560cd6e57d8b9258bf4,2,18694,1784718587.580513,1784718658.2228947,1784718658.2228947,200,7930.0,1318.0,,response,,,70.64238166809082,,,False,,,False,True,False,1,False,,1,root,2,18694,1.0,1784718582.711,0.0,0,0,0,0.0,15989551,0.0,441076,0.0,,,15376800,0.0,,,,,,,,,,,,,,vllm
ed17558d-8e11-4016-90d2-7f183be7057a,fp8_c24,pytest-dev__pytest-11143,pytest-dev__pytest-11143,5e2613091c57f1bc0159cdb9555411835177971d1fdb67e376ebc05524e06ac7,agentic,header,9,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,5e2613091c57f1bc0159cdb9555411835177971d1fdb67e376ebc05524e06ac7,5e2613091c57f1bc0159cdb9555411835177971d1fdb67e376ebc05524e06ac7,2,20774,1784718588.3357162,1784718661.4770854,1784718661.4770854,200,8996.0,1380.0,,response,,,73.14136910438538,,,False,,,False,True,False,1,False,,1,root,2,20774,1.0,1784718587.711,0.056005895357406,4,4,0,0.0,16012237,22686.0,441084,8.0,0.6037057255707909,,15390896,14096.0,,3.721467653910319,,,,,,,,,,,,vllm
