request_id,run_id,task_id,session_id,sequence_id,session_type,session_id_source,turn_number,turn_number_source,model,stream,path,prefix_hash,full_hash,sequence_root,num_messages,prompt_chars,ts_request_in,ts_first_byte,ts_last_byte,status_code,prompt_tokens,completion_tokens,cached_tokens,usage_source,stream_chunks,error,e2e_s,ttft_s,itl_s,streamed,gap_s,context_growth_tokens,is_resumption,prefix_seen_before,exact_resend,branch_factor,is_condensation,context_shrink_tokens,fanout,sequence_role,shared_prefix_msgs,shared_prefix_chars,shared_prefix_frac,ts,kv_cache_utilization,queue_depth,running_requests,eviction_events,eviction_events_window,prompt_tokens_total,prompt_tokens_total_delta,generation_tokens_total,generation_tokens_total_delta,prefix_cache_hit_rate,prefix_cache_hit_rate_reported,cached_tokens_total,cached_tokens_total_delta,prefill_recompute_tokens_mean,ttft_server_s_mean,queue_time_s_mean,prefill_time_s_mean,decode_time_s_mean,external_prefix_cache_hit_rate,offload_load_bytes,offload_load_bytes_delta,offload_store_bytes,offload_store_bytes_delta,offload_load_time_s_mean,offload_alloc_failures,offload_alloc_failures_delta,engine
cd060d32-90b9-46bb-9987-96a353c94c50,van_c4,mwaskom__seaborn-2848,mwaskom__seaborn-2848,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,agentic,header,0,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,2,16385,1784702812.2132258,1784702841.4008338,1784702841.4008338,200,7411,1003,,response,,,29.187608003616333,,,False,,,False,False,False,1,False,,1,root,2,16385,1.0,1784702812.213,0.0,0,0,0,0.0,0,0.0,0,0.0,,,0,0.0,,,,,,,,,,,,,,vllm
0700c050-bd36-4ce1-bf61-23615ed96cda,van_c4,mwaskom__seaborn-2848,mwaskom__seaborn-2848,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,agentic,header,1,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,a55f12e7c031eee0594f94af47c12740fd2d3b0273d84b28e6675283c37bb52b,ad5fd032ebb87b14758ed42f774bf3c61edc5b827f83bc5e4405bb4ad7d36d3d,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,4,21334,1784702841.5411644,1784702859.267015,1784702859.267015,200,8432,621,,response,,,17.725850582122803,,,False,0.14033055305480957,1021.0,True,False,False,1,False,,1,root,2,16385,0.7680228742851786,1784702837.213,0.0536539269214615,0,1,0,0.0,7411,0.0,760,196.0,,,0,0.0,,,,,,,,,,,,,,vllm
9038a9fe-e53b-4220-82a2-b1ddae351bff,van_c4,astropy__astropy-12907,astropy__astropy-12907,a78f6a7b1fb8fec7dc7851f95dcc8e9d9f939fdaf8186e1ffeb1515daf0919c2,agentic,header,0,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,a78f6a7b1fb8fec7dc7851f95dcc8e9d9f939fdaf8186e1ffeb1515daf0919c2,a78f6a7b1fb8fec7dc7851f95dcc8e9d9f939fdaf8186e1ffeb1515daf0919c2,2,16722,1784702849.4886765,1784702883.4608784,1784702883.4608784,200,7490,1193,,response,,,33.97220182418823,,,False,,,False,True,False,1,False,,1,root,2,16722,1.0,1784702847.213,0.0562788744225115,0,1,0,0.0,15843,8432.0,1143,187.0,0.9962049335863378,,8400,8400.0,7411.0,0.10567498207092241,4.4360756874e-05,3.5818702280521397,25.478611290454865,,,,,,,,,vllm
1e09c7fc-011d-4c9b-9615-89382943aaae,van_c4,mwaskom__seaborn-2848,mwaskom__seaborn-2848,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,agentic,header,2,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,90e801131c95c864ad4cc02e6a2d9805a135630f629cba12c2b9a39b899b1462,92ccd8ac6550aa3bba6986d872bffb35d44f9fc391319c18cfe1cb8a670e22d0,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,6,24843,1784702859.3148925,1784702869.4746675,1784702869.4746675,200,9146,370,,response,,,10.159775018692017,,,False,0.04787755012512207,714.0,True,False,False,1,False,,1,root,2,16385,0.6595419232781871,1784702857.213,0.0779084418311634,0,2,0,0.0,23333,7490.0,1629,315.0,,,13088,4688.0,,1.5681779384613037,,,,,,,,,,,,vllm
0db302ff-ff43-45c7-8019-8478a5833e24,van_c4,mwaskom__seaborn-2848,mwaskom__seaborn-2848,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,agentic,header,3,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,5de5a84c77c868ee0cfec8c6e3adac0f2f41703c07f363d0afc47b0ce7da08e4,d3cc5be679b5ba680023ebb30e5feb9f9ad36ec866910e11b3afbac157ea8662,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,8,27112,1784702870.4510107,1784702878.5065553,1784702878.5065553,200,9618,291,,response,,,8.05554461479187,,,False,0.9763431549072266,472.0,True,False,False,1,False,,1,root,2,16385,0.60434493951018,1784702867.213,0.0832633347333053,0,2,0,0.0,32479,0.0,2362,372.0,,,22080,0.0,,,,,,,,,,,,,,vllm
cfc62518-25eb-4665-948f-1806103e5b8d,van_c4,mwaskom__seaborn-2848,mwaskom__seaborn-2848,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,agentic,header,4,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,993117d21ea954eb9f10fe40dbcf1ba8d4b652999beebefe7528b1c184926e1f,44cccd333f973ddcfacbaa030c294cf1b6dbf9fc7ee6c6c8d1e24b88d5a621d0,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,10,30094,1784702879.2183604,1784702893.5401163,1784702893.5401163,200,10241,514,,response,,,14.32175588607788,,,False,0.7118051052093506,623.0,True,False,False,1,False,,1,root,2,16385,0.544460689838506,1784702877.213,0.0886182276354472,0,2,0,0.0,42097,9618.0,3058,352.0,0.9881472239550843,,31584,9504.0,,0.19021821022033691,,,,,,,,,,,,vllm
fb60fa63-fc54-45f5-a3f3-15047e5a1e72,van_c4,astropy__astropy-12907,astropy__astropy-12907,a78f6a7b1fb8fec7dc7851f95dcc8e9d9f939fdaf8186e1ffeb1515daf0919c2,agentic,header,1,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,68896e0b4e6569657b8d2fa3932a520548a6a2daae1bc546c887a88a234653fd,79d32005cf686f619457f8608c47096afba3e91613483496c1c10e2731d4d579,a78f6a7b1fb8fec7dc7851f95dcc8e9d9f939fdaf8186e1ffeb1515daf0919c2,4,22733,1784702883.5460675,1784702917.7282598,1784702917.7282598,200,8701,1148,,response,,,34.18219232559204,,,False,0.0851891040802002,1211.0,True,False,False,1,False,,1,root,2,16722,0.7355826331764396,1784702882.213,0.0929231415371693,0,2,0,0.0,52338,10241.0,3383,325.0,0.9670930573186213,,41488,9904.0,114.0,0.316359281539917,2.00122594834e-05,0.12355358153581575,7.859655670821667,,,,,,,,,vllm
63528758-e395-4c31-be00-7be7aabd9fe7,van_c4,mwaskom__seaborn-2848,mwaskom__seaborn-2848,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,agentic,header,5,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,3c8b2c5383e946faf0da3b6aefef064ad9019cd8ba7b7e0ffca7bf179a1fbc08,01b648f7138f4193a8bcfe2e71ecbed16c527eab6b982ce1c468e87da87e2f4c,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,12,32840,1784702893.6034815,1784702906.0068052,1784702906.0068052,200,10799,387,,response,,,12.403323650360107,,,False,0.06336522102355957,558.0,True,False,False,1,False,,1,root,2,16385,0.49893422655298414,1784702892.213,0.0977530449391012,0,2,0,0.0,61039,0.0,4111,368.0,,,50160,0.0,,,,,,,,,,,,,,vllm
8a906708-6c72-4e29-9eed-2f62f79a485d,van_c4,matplotlib__matplotlib-18869,matplotlib__matplotlib-18869,acab764a1ed6eaf6e72a7e619357fc03baa3bbc7f9849283b7ba04ef3d3fcb4c,agentic,header,0,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,acab764a1ed6eaf6e72a7e619357fc03baa3bbc7f9849283b7ba04ef3d3fcb4c,acab764a1ed6eaf6e72a7e619357fc03baa3bbc7f9849283b7ba04ef3d3fcb4c,2,17189,1784702902.0960653,1784702920.1795664,1784702920.1795664,200,7518,561,,response,,,18.08350110054016,,,False,,,False,True,False,1,False,,1,root,2,17189,1.0,1784702897.213,0.1004829903401931,0,2,0,0.0,71838,10799.0,4469,358.0,0.995647745161589,,60912,10752.0,337.0,0.14376115798950195,9.730458259600002e-06,0.2626344934105873,13.999360464513302,,,,,,,,,vllm
0e4f6eb1-9a56-48a2-b3c2-66690255d730,van_c4,mwaskom__seaborn-2848,mwaskom__seaborn-2848,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,agentic,header,6,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,4ce66baabf8b374b1896ce5290e9590a0c34ac16ca89660d2549462d11660478,2be1451dbb882b30a8e877e5df92eab8c11b16744e402d14f4ef5c2a5a146d21,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,14,34883,1784702906.091409,1784702921.765936,1784702921.765936,200,11239,531,,response,,,15.674526929855347,,,False,0.08460378646850586,440.0,True,False,False,1,False,,1,root,2,16385,0.4697130407361752,1784702902.213,0.1027929441411171,0,2,0,0.0,71838,0.0,4831,362.0,,,60912,0.0,,,,,,,,,,,,,,vllm
