request_id,task_id,session_id,sequence_id,session_type,session_id_source,turn_number,turn_number_source,model,stream,path,prefix_hash,full_hash,sequence_root,num_messages,prompt_chars,ts_request_in,ts_first_byte,ts_last_byte,status_code,prompt_tokens,completion_tokens,cached_tokens,usage_source,stream_chunks,error,e2e_s,ttft_s,itl_s,streamed,gap_s,context_growth_tokens,is_resumption,prefix_seen_before,exact_resend,branch_factor,is_condensation,context_shrink_tokens,fanout,sequence_role,shared_prefix_msgs,shared_prefix_chars,shared_prefix_frac,ts,kv_cache_utilization,queue_depth,running_requests,eviction_events,eviction_events_window,prompt_tokens_total,prompt_tokens_total_delta,generation_tokens_total,generation_tokens_total_delta,prefix_cache_hit_rate,prefix_cache_hit_rate_reported,engine
5fcb62c1-e8d4-45db-9da4-28aafccb3506,astropy__astropy-14995,astropy__astropy-14995,b0467d3192bf7bc69370318e05919da10a8b2c800ed75c9d23fa26cd45819d1d,agentic,header,0,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,b0467d3192bf7bc69370318e05919da10a8b2c800ed75c9d23fa26cd45819d1d,b0467d3192bf7bc69370318e05919da10a8b2c800ed75c9d23fa26cd45819d1d,2,17981,1784110726.1610115,1784110748.7931182,1784110748.7931182,200,7916.0,673.0,,response,,,22.63210678100586,,,False,,,False,True,False,1,False,,1,root,2,17981,1.0,1784110726.161,0.0,0,0,0,0.0,2358532,0.0,53699,0.0,,,vllm
608db721-20ca-4401-95fc-6e0715380a6e,astropy__astropy-14365,astropy__astropy-14365,9f8a0de124a202e342ec6c909134912a8a18df1147a3f401a33307e56bc0fce0,agentic,header,0,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,9f8a0de124a202e342ec6c909134912a8a18df1147a3f401a33307e56bc0fce0,9f8a0de124a202e342ec6c909134912a8a18df1147a3f401a33307e56bc0fce0,2,16831,1784110730.4696772,1784110755.0325675,1784110755.0325675,200,7634.0,699.0,,response,,,24.56289029121399,,,False,,,False,True,False,1,False,,1,root,2,16831,1.0,1784110726.161,0.0,0,0,0,0.0,2358532,0.0,53699,0.0,,,vllm
dc3e1aee-f2a4-40a4-984c-1d08f2dda27a,astropy__astropy-12907,astropy__astropy-12907,a78f6a7b1fb8fec7dc7851f95dcc8e9d9f939fdaf8186e1ffeb1515daf0919c2,agentic,header,0,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,a78f6a7b1fb8fec7dc7851f95dcc8e9d9f939fdaf8186e1ffeb1515daf0919c2,a78f6a7b1fb8fec7dc7851f95dcc8e9d9f939fdaf8186e1ffeb1515daf0919c2,2,16722,1784110732.8698974,1784110760.0321662,1784110760.0321662,200,7490.0,819.0,,response,,,27.16226887702942,,,False,,,False,True,False,1,False,,1,root,2,16722,1.0,1784110731.161,0.0526039479210416,0,1,0,0.0,2366448,7916.0,53794,95.0,0.9984840828701365,,vllm
f4b0d805-3bde-4382-a9bc-2188b3eab9f0,astropy__astropy-6938,astropy__astropy-6938,df377ff40f6e4cf8e29ec7ca8f82a4d242c0ee10ebd60e23f775e986e0cceb73,agentic,header,0,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,df377ff40f6e4cf8e29ec7ca8f82a4d242c0ee10ebd60e23f775e986e0cceb73,df377ff40f6e4cf8e29ec7ca8f82a4d242c0ee10ebd60e23f775e986e0cceb73,2,15943,1784110734.3028216,1784110755.6958768,1784110755.6958768,200,7283.0,637.0,,response,,,21.393055200576782,,,False,,,False,True,False,1,False,,1,root,2,15943,1.0,1784110731.161,0.0526039479210416,0,1,0,0.0,2366448,7916.0,53794,95.0,0.9984840828701365,,vllm
ed280991-74ea-439b-bf67-8a15aa2e6a3e,astropy__astropy-7746,astropy__astropy-7746,5218737fd66feb458bee93bdcdad695f1b59545c10c12cdd753c442aa2903b8f,agentic,header,0,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,5218737fd66feb458bee93bdcdad695f1b59545c10c12cdd753c442aa2903b8f,5218737fd66feb458bee93bdcdad695f1b59545c10c12cdd753c442aa2903b8f,2,17549,1784110736.696803,1784110757.3422499,1784110757.3422499,200,7779.0,648.0,,response,,,20.64544677734375,,,False,,,False,True,False,1,False,,1,root,2,17549,1.0,1784110736.161,0.0916631667366653,0,3,0,0.0,2381572,15124.0,54011,217.0,0.806135942872256,,vllm
100b788f-a32e-49fe-a93f-d9ce2dfafff0,astropy__astropy-14995,astropy__astropy-14995,b0467d3192bf7bc69370318e05919da10a8b2c800ed75c9d23fa26cd45819d1d,agentic,header,1,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1e9aaf594d72be7b4738b4dacccf8d9b0f6b996ab17a3a5e9730a2429645c982,8c3ee81ca21b26cf49fa637996d1648967048c02a5635d00749eb051326610f9,b0467d3192bf7bc69370318e05919da10a8b2c800ed75c9d23fa26cd45819d1d,4,21666,1784110749.8735626,1784110759.8119674,1784110759.8119674,200,8688.0,302.0,,response,,,9.93840479850769,,,False,1.0804443359375,772.0,True,False,False,1,False,,1,root,2,17981,0.8299178436259578,1784110746.161,0.1375472490550189,0,5,0,0.0,2396634,0.0,55330,800.0,,,vllm
2038bf1a-2ecb-45fc-ad8a-f94f953c8199,astropy__astropy-6938,astropy__astropy-6938,df377ff40f6e4cf8e29ec7ca8f82a4d242c0ee10ebd60e23f775e986e0cceb73,agentic,header,1,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,aecbd1576a620561f6cbb3b38ac65bc7a4912ccb3fec807754e0eafcebee42db,13296a83234713b9ca33a46e4323ff2eecb6284b2d814a3afdbf282900abf626,df377ff40f6e4cf8e29ec7ca8f82a4d242c0ee10ebd60e23f775e986e0cceb73,4,19237,1784110755.7738743,1784110765.5018187,1784110765.5018187,200,7988.0,295.0,,response,,,9.727944374084473,,,False,0.07799744606018066,705.0,True,False,False,1,False,,1,root,2,15943,0.8287674793366949,1784110751.161,0.1426921461570768,0,5,0,0.0,2396634,0.0,56115,785.0,,,vllm
144072f1-a1e0-40fb-a170-666d428cd0c3,astropy__astropy-14365,astropy__astropy-14365,9f8a0de124a202e342ec6c909134912a8a18df1147a3f401a33307e56bc0fce0,agentic,header,1,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,8895462a10246218d0c5382470c8de79d8b2624ceb8c41e6895ff9d49c8be2d2,3f6b8e9c4e8967b07d436df098ddbad98c964fd958c8a3953f0de217d642e8af,9f8a0de124a202e342ec6c909134912a8a18df1147a3f401a33307e56bc0fce0,4,20593,1784110756.0459025,1784110766.0820186,1784110766.0820186,200,8426.0,308.0,,response,,,10.036116123199463,,,False,1.0133349895477295,792.0,True,False,False,1,False,,1,root,2,16831,0.8173165638809304,1784110751.161,0.1426921461570768,0,5,0,0.0,2396634,0.0,56115,785.0,,,vllm
a03e56b2-3790-4831-bb29-d2126b47b55e,astropy__astropy-7746,astropy__astropy-7746,5218737fd66feb458bee93bdcdad695f1b59545c10c12cdd753c442aa2903b8f,agentic,header,1,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,d9dc382f23660f4628c10e624b57eb8456de6e031d0ae753b8aac17b99e8e2a1,3637a2b0f2c0340d050ff66abdc5d73c69ddcc7dbc089ce390fd2181e38b047d,5218737fd66feb458bee93bdcdad695f1b59545c10c12cdd753c442aa2903b8f,4,21082,1784110757.4350379,1784110769.8251855,1784110769.8251855,200,8491.0,394.0,,response,,,12.390147686004639,,,False,0.0927879810333252,712.0,True,False,False,1,False,,1,root,2,17549,0.8324162792903899,1784110756.161,0.1483620327593448,0,5,0,0.0,2405322,8688.0,56869,754.0,0.9871086556169429,,vllm
b57748db-914e-4dcf-8cfd-b2fa497074a5,astropy__astropy-14182,astropy__astropy-14182,1efce8181c2659eba7f6972f4c731cc6890c31114a81bffff3f35ff3927a0428,agentic,header,0,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,1efce8181c2659eba7f6972f4c731cc6890c31114a81bffff3f35ff3927a0428,1efce8181c2659eba7f6972f4c731cc6890c31114a81bffff3f35ff3927a0428,2,17387,1784110758.5485415,1784110776.7131104,1784110776.7131104,200,7697.0,570.0,,response,,,18.16456890106201,,,False,,,False,True,False,1,False,,1,root,2,17387,1.0,1784110756.161,0.1483620327593448,0,5,0,0.0,2405322,8688.0,56869,754.0,0.9871086556169429,,vllm
